site,sex,sex_index,species,height
ELK4,,0,geyer,63
ELK4,,0,geyer,61
ELK4,,0,geyer,101
ELK4,,0,geyer,50
ELK4,,0,geyer,59
ELK4,,0,geyer,71
ELK4,,0,geyer,72
ELK4,,0,geyer,125
ELK4,,0,geyer,70
ELK4,,0,geyer,61
ELK4,,0,geyer,82
ELK4,,0,geyer,102
ELK4,,0,geyer,111
ELK4,,0,geyer,66
ELK4,,0,geyer,79
ELK4,,0,geyer,91
ELK4,,0,geyer,85
ELK4,,0,geyer,85
ELK4,,0,geyer,123
ELK4,,0,geyer,131
ELK4,,0,geyer,128
ELK4,,0,geyer,78
ELK4,,0,geyer,61
ELK4,,0,geyer,119
ELK4,,0,geyer,56
ELK4,,0,geyer,60
ELK4,,0,geyer,141
ELK4,,0,geyer,83
ELK4,,0,geyer,83
ELK4,,0,geyer,92
ELK4,,0,geyer,88
ELK4,,0,geyer,87
ELK4,,0,geyer,73
ELK4,,0,geyer,78
ELK4,,0,geyer,70
ELK4,,0,geyer,54
ELK4,,0,geyer,92
ELK4,,0,geyer,79
ELK4,,0,geyer,70
ELK4,,0,geyer,89
ELK4,,0,geyer,61
ELK4,,0,geyer,91
ELK4,,0,geyer,128
ELK4,,0,geyer,78
ELK4,,0,geyer,79
ELK4,,0,geyer,81
ELK4,,0,geyer,111
ELK4,,0,geyer,115
ELK4,,0,plani,86
ELK4,,0,pseudo,134
ELK4,,0,pseudo,118
ELK4,,0,pseudo,82
ELK4,,0,pseudo,161
ELK4,,0,pseudo,106
ELK4,,0,pseudo,117
ELK4,,0,pseudo,157
ELK4,,0,pseudo,198
ELK4,,0,pseudo,116
ELK4,,0,pseudo,163
ELK4,,0,pseudo,135
ELK4,,0,pseudo,91
ELK4,,0,pseudo,112
ELK4,,0,pseudo,82
ELK4,,0,pseudo,84
ELK4,,0,pseudo,114
ELK4,,0,pseudo,97
ELK4,,0,pseudo,110
ELK4,,0,pseudo,56
ELK4,,0,pseudo,71
ELK4,,0,pseudo,69
ELK4,,0,,138
Ghole,f,1,drum,62
Ghole,f,1,drum,55
Ghole,f,1,geyer,80
Ghole,f,1,geyer,62
Ghole,m,2,booth,53
Ghole,m,2,booth,52
Ghole,m,2,drum,46
Ghole,,0,bebb,39
Ghole,,0,bebb,42
Ghole,,0,bebb,42
Ghole,,0,bebb,48
Ghole,,0,bebb,49
Ghole,,0,booth,45
Ghole,,0,booth,33
Ghole,,0,booth,38
Ghole,,0,booth,44
Ghole,,0,booth,49
Ghole,,0,booth,48
Ghole,,0,booth,23
Ghole,,0,booth,33
Ghole,,0,booth,40
Ghole,,0,booth,57
Ghole,,0,booth,32
Ghole,,0,booth,48
Ghole,,0,booth,77
Ghole,,0,booth,57
Ghole,,0,booth,82
Ghole,,0,booth,81
Ghole,,0,booth,76
Ghole,,0,booth,57
Ghole,,0,booth,63
Ghole,,0,booth,65
Ghole,,0,booth,80
Ghole,,0,booth,48
Ghole,,0,booth,68
Ghole,,0,booth,71
Ghole,,0,drum,41
Ghole,,0,drum,37
Ghole,,0,drum,44
Ghole,,0,drum,43
Ghole,,0,drum,37
Ghole,,0,drum,42
Ghole,,0,drum,47
Ghole,,0,drum,63
Ghole,,0,drum,47
Ghole,,0,drum,44
Ghole,,0,drum,27
Ghole,,0,drum,58
Ghole,,0,drum,41
Ghole,,0,drum,30
Ghole,,0,drum,46
Ghole,,0,drum,43
Ghole,,0,drum,46
Ghole,,0,drum,55
Ghole,,0,drum,47
Ghole,,0,drum,50
Ghole,,0,drum,39
Ghole,,0,drum,49
Ghole,,0,drum,59
Ghole,,0,drum,45
Ghole,,0,drum,27
Ghole,,0,drum,51
Ghole,,0,drum,47
Ghole,,0,drum,54
Ghole,,0,drum,41
Ghole,,0,drum,53
Ghole,,0,drum,27
Ghole,,0,drum,54
Ghole,,0,drum,29
Ghole,,0,drum,33
Ghole,,0,drum,48
Ghole,,0,drum,33
Ghole,,0,drum,57
Ghole,,0,drum,40
Ghole,,0,drum,43
Ghole,,0,drum,49
Ghole,,0,drum,59
Ghole,,0,drum,61
Ghole,,0,drum,59
Ghole,,0,drum,39
Ghole,,0,drum,66
Ghole,,0,drum,56
Ghole,,0,drum,68
Ghole,,0,drum,70
Ghole,,0,drum,63
Ghole,,0,drum,40
Ghole,,0,drum,85
Ghole,,0,drum,94
Ghole,,0,drum,62
Ghole,,0,drum,49
Ghole,,0,drum,57
Ghole,,0,drum,60
Ghole,,0,drum,65
Ghole,,0,drum,31
