site,plot,species,willid,stem1,stem2,stem3,stem4,stem5,stem6,gender,sex_ann,sex_index,.,.
wb,cc,beb,85,85,86,87,.,.,.,f,,1,.,.
wb,cc,beb,88,88,89,90,.,.,.,f,,1,.,.
wb,cc,beb,91,91,92,93,.,.,.,f,,1,.,.
wb,cc,beb,94,94,95,96,.,.,.,.,,0,.,.
wb,cc,boothi,501,501,502,503,.,.,.,f,,1,.,.
wb,cc,boothi,504,504,505,506,.,.,.,.,,0,.,.
wb,cc,boothi,507,507,508,509,.,.,.,.,,0,.,.
wb,cc,boothi,510,510,511,512,.,.,.,f,,1,.,.
wb,cc,boothi,513,513,514,515,.,.,.,.,,0,.,.
wb,cc,boothi,516,516,517,518,8980,.,.,.,,0,.,.
wb,cc,boothi,97,97,99,100,8010,9540,.,.,,0,.,.
wb,cc,geyer,290,290,291,292,.,.,.,.,,0,.,.
wb,cc,geyer,293,293,294,295,.,.,.,.,,0,.,.
wb,cc,geyer,296,62,63,296,.,.,.,f,,1,.,.
wb,cc,geyer,64,64,65,66,.,.,.,.,,0,.,.
wb,cc,geyer,67,67,68,69,.,.,.,.,,0,.,.
wb,cc,geyer,70,70,71,72,.,.,.,.,,0,.,.
wb,cc,geyer,73,73,74,75,.,.,.,.,,0,.,.
wb,cc,geyer,915,9150,9190,9200,.,.,.,.,,0,.,.
wb,cx,beb,248,248,249,250,2480,.,.,m,,2,.,.
wb,cx,beb,251,251,252,253,2510,2520,2530,f,,1,.,.
wb,cx,beb,254,254,255,256,2550,.,.,f,,1,.,.
wb,cx,beb,257,257,258,259,.,.,.,f,,1,.,.
wb,cx,beb,260,260,261,262,.,.,.,f,,1,.,.
wb,cx,beb,263,263,264,265,.,.,.,f,,1,.,.
wb,cx,beb,266,266,267,268,2660,2670,.,f,,1,.,.
wb,cx,boothi,269,269,270,271,.,.,.,m,,2,.,.
wb,cx,boothi,272,272,273,274,.,.,.,.,,0,.,.
wb,cx,boothi,275,275,276,277,2750,2760,2770,.,,0,.,.
wb,cx,boothi,278,278,279,280,2780,2790,2800,f,,1,.,.
wb,cx,boothi,281,281,282,283,2820,2830,8300,f,,1,.,.
wb,cx,boothi,284,284,285,286,2840,2850,2860,f,,1,.,.
wb,cx,boothi,907,287,288,289,2880,2890,9070,f,,1,.,.
